101 Dalmatiner#101 Dalmatiner
A-Team#A Team
Alf#Alf
Als die Tiere den Wald verließen#Tiere Wald verließen
Alvin und die Chipmunks#Chipmunks
Arielle die Meerjungfrau#Arielle
Asterix der Gallier#Asterix
Avatar - Der Herr der Elemente#Avatar
Bananas in Pyjamas#Bananas Pyjamas
Ben 10#Ben 10
Bibi Blocksberg#Bibi Blocksberg
Billy The Cat#Billy Cat
Blinky Bill#Blinky Bill
Bob der Flaschengeist#Bob Flaschengeist
Calimero#Calimero
CatDog#CatDog
Chip und Chap#Chip Chap
Darkwing Duck#Darkwing Duck
David der Kabauter#David Kabauter
Der rosarote Panther#rosarote Panther
Detektiv Conan#Detektiv Conan
Die Bambus-Bären-Bande#Bambus Bären Bande
Die Biber Brüder#Biber Brüder
Die Biene Maja#Biene Maja
Die Dinos#Die Dinos
Die Pfefferkörner#Pfefferkörner
Die Schlümpfe#Schlümpfe
Die Sendung mit der Maus#Sendung Maus
Digimon#Digimon
Disneys Aladdin#Aladdin
Disneys große Pause#Große Pause
Disneys Gummibärenbande#Gummibären
Disneys Hercules#Hercules
Doug#Doug
Dragonball#Dragonball
Dragonball Z#Dragonball Z
Ducktales#Ducktales
Ein Käfig voller Helden#Käfig voller Helden
Es war einmal … der Weltraum#Es war einmal Weltraum
Expedition der Stachelbeeren#Expedition Stachelbeere
Extreme Dinosaurs#Extreme Dinosaurs
Familie Feuerstein#Feuerstein
Fillmore#Fillmore
Fix und Foxi#Fix Foxi
Flipper und Lopaka#Flipper
Garfield#Garfield
Gargoyles#Gargoyles
Glücksbärchis#Glücksbärchis
Goofy und Max#Goofy Max
Heidi#Heidi
Hey Arnold#Hey Arnold
Immer Ärger mit Newton#Ärger Newton
Inuyasha#Inuyasha
Jimmy Neutron#Jimmy Neutron
Kangoos#Kangoos
Käp´tn Balu und seine tollkühne Crew#Balu Crew
Kim Possible#Kim Possible
Knight Rider#Knight Rider
Lassie#Lassie
Lauras Stern#Laura Stern
Lilo und Stitch#Lilo Stitch
Löwenzahn#Löwenzahn
Lucky Luke#Lucky Luke
Lukas der Lokomotivführer#Lukas Lokomotivführer
MacGyver#MacGyver
Magnum#Magnum
Marsupilami#Marsupilami
MASH#MASH
Mecki und seine Freunde#Mecki Freunde
Mega Man#Mega Man
Michel aus Lönneberga#Michel
Michel Vaillant#Michel Vaillant
Momo#Momo
Monster Rancher#Monster Rancher
Mord ist ihr Hobby#Mord Hobby
Mummies Alive#Mummies Alive
Mystic Knights#Mystic Knights
Nils Holgerson#Nils Holgerson
Norman Normal#Norman Normal
Oggy und die Kakerlaken#Oggy Kakerlaken
Oiski Poiski#Oiski Poiski, Noahs Insel
One Piece#One Piece
Paddington Bär#Paddington
Papyrus#Papyrus
PB und J Otter#Otter
Peanuts#Peanuts
Pepper Ann#Pepper Ann
Peter Pan#Peter Pan
Pettersson und Findus#Pettersson Findus
Pinky und Brain#Pinky Brain
Pippi Langstrumpf#Pippi Langstrumpf
Pokemon#Pokemon
Popeye#Popeye
Powerpuff Girls#Powerpuff Girls
Prinz von Bel-Air#Prinz Bel Air
Pumuckl#Pumuckl
Quack Pack#Quack Pack
Rockos modernes Leben#Rockos modernes Leben
Rugrats#Rugrats
Sailor Moon#Sailor Moon
Scooby Doo#Scooby Doo
Sesamstraße#Sesamstraße
Shin Chan#Shin Chan
Siebenstein#Siebenstein
Simpsons#Simpsons
Simsalabim Sabrina#Simsalabim Sabrina
Sissi#Sissi
Sonic Underground#Sonic
SOS Croco#SOS Croco
Speedy Gonzales#Speedy Gonzales
Spellbinder#Spellbinder
Spongebob Schwammkopf#Spongebob
Star Trek - Das nächste Jahrhundert#Star Trek nächste Jahrhundert
Stargate SG-1#Stargate
Tabaluga#Tabaluga
Teen Titans#Teen Titans
Teenage Mutant Hero Turtles#Teenage Mutant Hero Turtles, Ninja Turtles
Teletubbies#Teletubbies
Tex Avery Show#Tex Avery
The Real Ghostbusters#Ghostbusters
Tim und Struppi#Tim Struppi
Timon und Pumbaa#Timon Pumbaa
Tom und Jerry#Tom Jerry
Typisch Andy#Typisch Andy
Urmel#Urmel
Weihnachtsmann und Co. KG#Weihnachtsmann Co KG
Wickie#Wickie
Winnie Puuh#Winnie Puuh
xDuckx#xDuckx
Xena#Xena
